a,##
per,p3
perceive,p@siv
perch,p3J
percipient,p@sIp7nt
percolate,p3k@l1t
percussion,p@kVS@n
perdition,p@dIS@n
peregrinate,pErIgrIn1t
peremptory,p@rEmpt@rI
perfect,p3fIkt
perfidy,p3fIdI
perforate,p3f@r1t
perform,p@f$m
perfunctory,p@fVNkt@rI
pergola,p3g@l@
peri,p7rI
perigee,pErI_i
perihelion,pErIhilj@n
peril,pEr@l
period,p7r7d
periphery,p@rIf@rI
periphrasis,p@rIfr@sIs
perish,pErIS
peritoneum,pErIt5ni@m
periwinkle,pErIwINk@l
perjure,p3_@
perk,p3k
permanent,p3m@n@nt
permeate,p3mI1t
permit,p@mIt
permute,p@mjut
pernickety,p@nIk@tI
perpendicular,p3p@ndIkjUl@
perpetrate,p3pItr1t
perpetual,p@pEJ9l
perpetuate,p@pEJU1t
perplex,p@plEks
perquisite,p3kwIzIt
perry,pErI
persecute,p3sIkjut
persevere,p3sIv7
persiflage,p3sIfl#Z
persimmon,p@sIm@n
persist,p@sIst
persnickety,p@snIk@tI
person,p3s@n
persona,p@s5n@
personnel,p3s@nEl
perspective,p@spEktIv
perspex,p3spEks
perspire,p@sp2@
persuade,p@sw1d
pert,p3t
pertinacious,p3tIn1S@s
perturb,p@t3b
peruke,p@ruk
pervade,p@v1d
perverse,p@v3s
pervert,p@v3t
pessimism,pEsImIz@m
pest,pEst
pestle,pEs@l
pet,pEt
petal,pEt@l
petard,pEt#d
peter,pit@
petition,p@tIS@n
petrel,pEtr@l
petrify,pEtrIf2
petrol,pEtr@l
petrolatum,pEtr@l1t@m
petroleum,p@tr5lj@m
petty,pEtI
petulant,pEtjUl@nt
petunia,p@tjunj@
pew,pju
pewit,piwIt
pewter,pjut@
phaeton,f1t@n
phagocyte,f{g5s2t
phalanx,f{l{Nks
phalarope,f{l@r5p
phallus,f{l@s
phantasm,f{nt{z@m
phantasy,f{nt@sI
phantom,f{nt@m
pharisee,f{rIsi
pharmacy,f#m@sI
pharos,f8rQs
pharynx,f{rINks
phase,f1z
pheasant,fEz@nt
phenobarbital,fin5b#bIt@l
phenol,finQl
phenomenon,f@nQmIn@n
phi,f2
phial,f2@l
philander,fIl{nd@
philhellene,fIlhElin
philippic,fIlIpIk
philosophy,fIlQs@fI
philtre,fIlt@
phizog,fIzQg
phlebitis,flIb2tIs
phlebotomy,flIbQt@mI
phlegm,flEm
phlox,flQks
phobia,f5bj@
phoenix,finIks
phoney,f5nI
phosgene,fQz_in
phosphoresce,fQsf@rEs
phosphorus,fQsf@r@s
phrase,fr1z
phthisis,T2sIs
phut,fVt
phylloxera,fIlQks7r@
phylum,f2l@m
physic,fIzIk
pi,p2
pibroch,pibrQk
pica,p2k@
picador,pIk@d$
picaresque,pIk@rEsk
piccalilli,pIk@lIlI
piccaninny,pIk@nInI
pick,pIk
picket,pIkIt
pickle,pIk@l
picnic,pIknIk
picture,pIkJ@
piddle,pId@l
pidgin,pI_In
pie,p2
piece,pis
pier,p7
pierce,p7s
piffle,pIf@l
pig,pIg
pigeon,pI_In
pigment,pIgm@nt
pike,p2k
pilaf,pIl{f
pilaster,pIl{st@
pilau,pIl6
pilchard,pIlJ@d
pile,p2l
piles,p2lz
pilfer,pIlf@
pilgrim,pIlgrIm
pill,pIl
pillage,pIlI_
pillar,pIl@
pillion,pIlj@n
pillock,pIl@k
pillory,pIl@rI
pillow,pIl5
pilot,p2l@t
pimento,pImEnt5
pimp,pImp
pimpernel,pImp@nEl
pimple,pImp@l
pin,pIn
pinafore,pIn@f$
pinch,pInJ
pinchbeck,pInJbEk
pine,p2n
ping,pIN
pinion,pInj@n
pink,pINk
pinkie,pINkI
pinko,pINk5
pinnace,pInIs
pinnacle,pIn@k@l
pinnate,pIn1t
pinny,pInI
pint,p2nt
pinta,p2nt@
pioneer,p2@n7
pious,p2@s
pip,pIp
pipal,pip@l
pipe,p2p
pipit,pIpIt
pippin,pIpIn
piranha,pIr#nj@
pirate,p2@r@t
piss,pIs
pistil,pIstIl
pistol,pIst@l
piston,pIst@n
pit,pIt
pitch,pIJ
pith,pIT
pity,pItI
pivot,pIv@t
pixie,pIksI
placard,pl{k#d
placate,pl@k1t
place,pl1s
placebo,pl@sib5
placenta,pl@sEnt@
placid,pl{sId
placket,pl{kIt
plague,pl1g
plaice,pl1s
plaid,pl{d
plain,pl1n
plaint,pl1nt
plait,pl{t
plan,pl{n
plane,pl1n
planet,pl{nIt
plangent,pl{n_@nt
plank,pl{Nk
plankton,pl{Nt@n
plant,pl#nt
plantain,pl{ntIn
plash,pl{S
plasm,pl{z@m
plasma,pl{zm@
plaster,pl#st@
plastic,pl{stIk
plastron,pl{str@n
plate,pl1t
platform,pl{tf$m
platinum,pl{tIn@m
platitude,pl{tItjud
platoon,pl@tun
platter,pl{t@
platypus,pl{tIp@s
plaudit,pl$dIt
play,pl1
plea,pli
pleach,pliJ
plead,plid
please,pliz
pleat,plit
plebs,plEbz
plectrum,plEktr@m
pledge,plE_
pleistocene,pl2st5sin
plenary,plin@rI
plenish,plEnIS
plenty,plEntI
pleonasm,plI5n{z@m
plethora,plET@r@
pleurisy,pl9r@sI
plexus,plEks@s
plight,pl2t
plimsoll,plIms@l
plinth,plInT
pliocene,pl25sin
plod,plQd
plonk,plQNk
plop,plQp
plot,plQt
plough,pl6
plover,plVv@
ploy,pl4
pluck,plVk
plug,plVg
plum,plVm
plumb,plVm
plumbago,plVmb1g5
plume,plum
plump,plVmp
plunder,plVnd@
plunge,plVn_
plunk,plVNk
plural,pl9r@l
plus,plVs
plush,plVS
ply,pl2
pneumonia,njum5nj@
po,p5
poach,p5J
pock,pQk
pocket,pQkIt
pod,pQd
podgy,pQ_I
podium,p5d7m
poem,p5Im
poet,p5It
pogrom,pQgr@m
poignant,p4nj@nt
point,p4nt
poise,p4z
poison,p4z@n
poke,p5k
poker,p5k@
polder,pQld@
pole,p5l
polemic,p@lEmIk
police,p@lis
policy,pQl@sI
polio,p5lI5
polite,p@l2t
politic,pQl@tIk
politico,p@lItIk5
polity,pQl@tI
poll,p5l
pollen,pQl@n
pollute,p@lut
polo,p5l5
polony,p@l5nI
poltroon,pQltrun
poly,pQlI
polyp,pQlIp
polythene,pQlITin
pom,pQm
pomander,p5m{nd@
pomegranate,pQmIgr{nIt
pomelo,pQmIl5
pommel,pVm@l
pommy,pQmI
pomp,pQmp
pompom,pQmpQm
pompon,pQmpQn
ponce,pQns
pond,pQnd
ponder,pQnd@
pone,p5n
pong,pQN
poniard,pQnj@d
pontiff,pQntIf
pontoon,pQntun
pony,p5nI
pooch,puJ
poodle,pud@l
poof,puf
pool,pul
poop,pup
poor,p$
poove,puv
pop,pQpjUl@lI
popadum,pQp@d@m
pope,p5p
poplar,pQpl@
poplin,pQplIn
poppa,pQp@
poppet,pQpIt
poppy,pQpI
populace,pQpjUl@s
popular,pQpjUl@
populate,pQpjUl1t
porcelain,p$s@lIn
porch,p$J
porcupine,p$kjUp2n
pore,p$
pork,p$k
porphyry,p$fIrI
porpoise,p$p@s
porridge,pQrI_
porringer,pQrIn_@
port,p$t
portal,p$t@l
portcullis,p$tkVlIs
portend,p$tEnd
portion,p$S@n
portrait,p$tr1t
portray,p$tr1
pose,p5z
posh,pQS
posit,pQzIt
positive,pQz@tIv
posse,pQsI
possess,p@zEs
posset,pQsIt
possible,pQs@b@l
possum,pQs@m
post,p5st
poster,p5st@
postern,pQst@n
postulate,pQstjUl1t
posture,pQsJ@
posy,p5zI
pot,pQt
potassium,p@t{s7m
potato,p@t1t5
poteen,pQtin
potent,p5t@nt
potheen,pQtin
pother,pQD@
potion,p5S@n
pouch,p6J
pouf,puf
poultice,p5ltIs
poultry,p5ltrI
pounce,p6ns
pound,p6nd
pour,p$
pout,p6t
poverty,pQv@tI
powder,p6d@
power,p6@
pox,pQks
practise,pr{ktIs
praetor,prit@
prairie,pr8rI
praise,pr1z
praline,pr#lin
prance,pr#ns
prank,pr{Nk
prat,pr{t
prawn,pr$n
praxis,pr{ksIs
pray,pr1
preach,priJ
precarious,prIk8r7s
precept,prisEpt
precinct,prisINkt
precious,prES@s
precipice,prEsIpIs
precise,prIs2s
precocious,prIk5S@s
predator,prEd@t@
predicament,prIdIk@m@nt
predicate,prEdIk1t
predict,prIdIkt
preen,prin
prefect,prifEkt
prefer,prIf3
pregnant,prEgn@nt
prehension,prIhEnS@n
prelate,prElIt
premise,prIm2z
premium,primj@m
prep,prEp
prepare,prIp8
preponderate,prIpQnd@r1t
preposterous,prIpQst@r@s
prepuce,pripjus
prerogative,prIrQg@tIv
presbyter,prEzbIt@
prescient,prEs7nt
present,prEz@nt
preserve,prIz3v
preside,prIz2d
press,prEs
presume,prIzjum
pretend,prItEnd
preterite,prEt@r@t
pretty,prItI
prevent,prIvEnt
previous,privj@s
prey,pr1
price,pr2s
prick,prIk
pride,pr2d
priest,prist
prig,prIg
prim,prIm
prime,pr2m
primeval,pr2miv@l
primitive,prImItIv
primp,prImp
primula,prImjUl@
primus,pr2m@s
prince,prIns
principle,prIns@p@l
prink,prINk
print,prInt
prior,pr2@
prism,prIz@m
prison,prIz@n
pristine,prIstin
private,pr2vIt
privet,prIvIt
privilege,prIvIlI_
privy,prIvI
prize,pr2z
pro,pr5
probate,pr5b1t
probe,pr5b
probity,pr5b@tI
problem,prQbl@m
proboscis,pr5bQsIs
proceed,pr@sid
process,pr@sEs
proctor,prQkt@
procure,pr@kj9
prod,prQd
prodigy,prQdI_I
produce,pr@djus
product,prQdVkt
proem,pr5Em
profane,pr@f1n
profess,pr@fEs
proficient,pr@fIS@nt
profile,pr5f2l
profit,prQfIt
profligate,prQflIg@t
profound,pr@f6nd
profuse,pr@fjus
progeny,prQ_@nI
progesterone,pr@_Est@r5n
prognathous,prQgn1T@s
prognosis,prQgn5sIs
programme,pr5gr{m
progress,pr5grEs
prohibit,pr@hIbIt
project,pr@_Ekt
prole,pr5l
prolegomenon,pr5lEgQmIn@n
proletariat,pr5lIt8r7t
proletary,pr5lIt@rI
prolific,pr5lIfIk
prolix,pr5lIks
prom,prQm
prominent,prQmIn@nt
promise,prQmIs
promontory,prQm@ntrI
promote,pr@m5t
prompt,prQmpt
promulgate,prQm@lg1t
prone,pr5n
prong,prQN
pronounce,pr@n6ns
prop,prQp
propaganda,prQp@g{nd@
propagate,prQp@g1t
propel,pr@pEl
proper,prQp@
property,prQp@tI
prophesy,prQfIs2
prophet,prQfIt
prophylactic,prQfIl{ktIk
prophylaxis,prQfIl{ksIs
propyl,pr5pIl
prorogue,pr@r5g
proscenium,pr5sinj@m
proscribe,pr5skr2b
prose,pr5z
prosecute,prQsIkjut
proselyte,prQs@l2t
prosody,prQs@dI
prospect,pr@spEkt
prosper,prQsp@
prostate,prQst1t
prosthesis,prQsTIsIs
prostitute,prQstItjut
prostrate,prQstr1t
protagonist,pr5t{g@nIst
protect,pr@tEkt
protege,prQtIZ1
protegee,pr5tIZ1
protein,pr5tin
protest,pr@tEst
protocol,pr5t@kQl
proton,pr5tQn
protozoan,pr5t5z5@n
protozoon,pr5t5z5@n
protract,pr@tr{kt
protrude,pr@trud
proud,pr6d
prove,pruv
provender,prQvInd@
provide,pr@v2d
province,prQvIns
proviso,pr@v2z5
provoke,pr@v5k
provost,prQv@st
prow,pr6
prowess,pr6Is
prowl,pr6l
proximo,prQksIm5
proxy,prQksI
prude,prud
prune,prun
prurient,pr9r7nt
pruritus,prUr2t@s
pry,pr2
psalm,s#m
psalter,s$lt@
psaltry,s$ltrI
pseud,sjud
pseudo,psjud5
psoriasis,psQr2@sIs
psyche,s2kI
ptarmigan,t#mIg@n
ptomaine,t5m1n
pub,pVb
puberty,pjub@tI
pubes,pjubiz
public,pVblIk
publish,pVblIS
puce,pjus
puck,pVk
pud,pUd
pudding,pUdIN
puddle,pVd@l
pudendum,pjudEnd@m
pudgy,pV_I
puerile,pj9r2l
puerperium,pj9p7r7m
puff,pVf
puffin,pVfIn
pug,pVg
pugnacious,pVgn1S@s
puke,pjuk
pule,pjul
pull,pUl
pullet,pUlIt
pulley,pUlI
pulp,pVlp
pulpit,pUlpIt
pulque,pUlkI
pulse,pVls
puma,pjum@
pumice,pVmIs
pump,pVmp
pumpkin,pVmpkIn
pun,pVn
punch,pVnJ
punctual,pVNkJ9l
punctuate,pVNkJU1t
puncture,pVNkJ@
pundit,pVndIt
pungent,pVn_@nt
punish,pVnIS
punk,pVNk
punkah,pVNk@
punnet,pVnIt
punt,pVnt
puny,pjunI
pup,pVp
pupa,pjup@
pupil,pjup@l
puppet,pVpIt
purchase,p3J@s
purdah,p3d@
pure,pj9
purge,p3_
purl,p3l
purlieus,p3ljuz
purloin,p3l4n
purple,p3p@l
purport,p3p@t
purpose,p3p@s
purr,p3
purse,p3s
pursue,p@sju
pursuit,p@sjut
pursy,p3sI
purvey,p@v1
pus,pVs
push,pUS
puss,pUs
pustule,pVstjul
put,pUt
putrid,pjutrId
putt,pVt
puttee,pVtI
putto,pUttu
putty,pVtI
puzzle,pVz@l
pygmy,pIgmI
pyjama,p@_#m@
pylon,p2l@n
pyorrhoea,p2@r7
pyramid,pIr@mId
pyre,p2@
pyrexia,p2rEks7
pyrites,p2r2tiz
python,p2T@n
pyx,pIks
quack,kw{k
quad,kwQd
quadrant,kwQdr@nt
quadrate,kwQdr@t
quadroon,kwQdrun
quadruped,kwQdrUpEd
quaff,kwQf
quagga,kw{g@
quagmire,kw{gm2@
quail,kw1l
quaint,kw1nt
quake,kw1k
quality,kwQl@tI
qualm,kw#m
quandary,kwQnd@rI
quantity,kwQnt@tI
quantum,kwQnt@m
quark,kw#k
quarrel,kwQr@l
quarry,kwQrI
quart,kw$t
quartet,kw$tEt
quarto,kw$t5
quartz,kw$ts
quash,kwQS
quassia,kwQS@
quatrain,kwQtr1n
quaver,kw1v@
quay,ki
quean,kwin
queasy,kwizI
queen,kwin
queer,kw7
quell,kwEl
quench,kwEnJ
quern,kw3n
query,kw7rI
quest,kwEst
quetzal,kwEts@l
queue,kju
quibble,kwIb@l
quick,kwIk
quid,kwId
quiet,kw2@t
quietus,kw2it@s
quiff,kwIf
quill,kwIl
quilt,kwIlt
quin,kwIn
quince,kwIns
quinine,kwInin
quinsy,kwInzI
quint,kInt
quintal,kwInt@l
quip,kwIp
quire,kw2@
quirk,kw3k
quisling,kwIzlIN
quit,kwIt
quite,kw2t
quits,kwIts
quiver,kwIv@
quiz,kwIz
quod,kwQd
quoin,k4n
quoit,k4t
quorum,kw$r@m
quota,kw5t@
quote,kw5t
quotient,kw5S@nt
rabbit,r{bIt
rabble,r{b@l
rabid,r{bId
rabies,r1biz
raccoon,r@kun
race,r1s
raceme,r{sim
rack,r{k
racket,r{kIt
radar,r1d#
radical,r{dIk@l
radicle,r{dIk@l
radio,r1dI5
radish,r{dIS
radium,r1d7m
radius,r1d7s
raffia,r{f7
raffish,r{fIS
raffle,r{f@l
raft,r#ft
rafter,r#ft@
rag,r{g
raga,r#g@
rage,r1_
raglan,r{gl@n
ragout,r{gu
raid,r1d
rail,r1l
raiment,r1m@nt
rain,r1n
raise,r1z
raisin,r1z@n
rake,r1k
rally,r{lI
ram,r{m
ramadan,r{m@d{n
ramble,r{mb@l
ramekin,r{mkIn
rampart,r{mp#t
ranch,r#nJ
rancid,r{nsId
rancour,r{Nk@
rand,r{nd
random,r{nd@m
randy,r{ndI
ranee,r#ni
range,r1n_
rank,r{Nk
rankle,r{Nk@l
ransom,r{ns@m
rant,r{nt
rap,r{p
rape,r1p
rapid,r{pId
rapier,r1pj@
rapine,r{p2n
rapport,r{p$
rapt,r{pt
rare,r8
rascal,r#sk@l
rash,r{S
rasp,r#sp
rat,r{t
ratchet,r{JIt
rate,r1t
rather,r#D@
ratify,r{tIf2
ratio,r1SI5
ration,r{S@n
rationale,r{S@n#l
rattan,r@t{n
rattle,r{t@l
ravage,r{vI_
rave,r1v
ravel,r{v@l
raven,r{v@n
ravine,r@vin
ravish,r{vIS
raw,r$
ray,r1
raze,r1z
razor,r1z@
razzle,r{z@l
re,@
reach,riJ
read,rEd
ready,rEdI
real,r1#l
realm,rElm
ream,rim
reap,rip
rear,r7
reason,riz@n
rebate,rib1t
rebel,rIbEl
recce,rEkI
receive,rIsiv
recent,ris@nt
recess,rIsEs
recipe,rEsIpI
reciprocal,rIsIpr@k@l
reckon,rEk@n
recluse,rIklus
recognize,rEk@gn2z
recompense,rEk@mpEns
reconcile,rEk@ns2l
recondite,rEk@nd2t
reconnoitre,rEk@n4t@
record,rIk$d
recreant,rEkr7nt
recruit,rIkrut
rectangle,rEkt{Ng@l
rectify,rEktIf2
rectitude,rEktItjud
recto,rEkt5
rector,rEkt@
rectum,rEkt@m
recuperate,rIkup@r1t
recusant,rEkjUz@nt
red,rEd
redact,rId{kt
redeem,rIdim
redolent,rEd@l@nt
redundant,rIdVnd@nt
reed,rid
reef,rif
reek,rik
reel,ril
reeve,riv
referendum,rEf@rEnd@m
reflect,rIflEkt
reflex,riflEks
refract,rIfr{kt
refrain,rIfr1n
refrigerate,rIfrI_@r1t
refuge,rEfju_
refulgent,rIfVl_@nt
refuse,rIfjuz
refute,rIfjut
regal,rig@l
regard,rIg#d
regent,ri_@nt
regimen,rE_ImEn
regiment,rE_ImEnt
region,ri_@n
register,rE_Ist@
regress,rIgrEs
regret,rIgrEt
regular,rEgjUl@
rehearse,rIh3s
reign,r1n
rein,r1n
reject,rI_Ekt
rejoice,rI_4s
relate,rIl1t
relax,rIl{ks
relay,ril1
release,rIlis
relegate,rElIg1t
relent,rIlEnt
relevant,rEl@v@nt
relic,rElIk
relict,rElIkt
relieve,rIliv
religion,rIlI_@n
relinquish,rIlINkwIS
relish,rElIS
reluctant,rIlVkt@nt
remain,rIm1n
remand,rIm#nd
remedy,rEm@dI
remember,rImEmb@
reminisce,rEmInIs
remit,rImIt
remnant,rEmn@nt
remorse,rIm$s
remote,rIm5t
renal,rin@l
rend,rEnd
render,rEnd@
rendition,rEndIS@n
renege,rInig
rennet,rEnIt
renounce,rIn6ns
renovate,rEn5v1t
renown,rIn6n
rent,rEnt
rep,rEp
repair,rIp8
repartee,rEp#ti
repast,rIp#st
repatriate,rip{trI1t
repeal,rIpil
repeat,rIpit
repel,rIpEl
repent,rIpEnt
repertory,rEp@t@rI
replete,rIplit
replicate,rEplIk1t
reply,rIpl2
report,rIp$t
reprehend,rEprIhEnd
reprieve,rIpriv
reprimand,rEprIm#nd
reprise,rIpriz
reproach,rIpr5J
reprobate,rEpr5b1t
reptile,rEpt2l
republic,rIpVblIk
repudiate,rIpjudI1t
repugnant,rIpVgn@nt
repulse,rIpVls
repute,rIpjut
request,rIkwEst
requiem,rEkw7m
require,rIkw2@
requite,rIkw2t
reredos,r7dQs
rescind,rIsInd
rescue,rEskju
resemble,rIzEmb@l
resent,rIzEnt
reserve,rIz3v
reside,rIz2d
residue,rEzIdju
resign,rIz2n
resilient,rIzIl7nt
resin,rEzIn
resist,rIzIst
resolute,rEz@lut
resolve,rIzQlv
resonate,rEz@n1t
resort,rIz$t
respect,rIspEkt
respire,rIsp2@
respite,rEsp2t
resplendent,rIsplEnd@nt
respond,rIspQnd
rest,rEst
restore,rIst$
restrain,rIstr1n
restrict,rIstrIkt
result,rIzVlt
resume,rIzjum
resurrect,rEz@rEkt
resuscitate,rIsVsIt1t
ret,rEt
retail,rit1l
retain,rIt1n
retaliate,rIt{lI1t
retard,rIt#d
retch,rEJ
reticent,rEtIs@nt
reticule,rEtIkjul
retina,rEtIn@
retinue,rEtInju
retire,rIt2@
retort,rIt$t
retract,rItr{kt
retreat,rItrit
retrench,rItrEnJ
retrieve,rItriv
retsina,rEtsin@
rev,rEv@r@nd
reveal,rIvil
revel,rEv@l
revenue,rEv@nju
revere,rIv7
reverend,rEv@r@nd
reverie,rEv@rI
revers,rIv7
reverse,rIv3s
revile,rIv2l
revise,rIv2z
revive,rIv2v
revoke,rIv5k
revolt,rIv5lt
revolve,rIvQlv
reward,rIw$d
rhapsody,r{ps@dI
rhea,r7
rheostat,rI5st{t
rhesus,ris@s
rhetoric,rEt@rIk
rheum,rum
rhino,r2n5
rhinoceros,r2nQs@r@s
rhizome,r2z5m
rhododendron,r5d@dEndr@n
rhombus,rQmb@s
rhubarb,rub#b
rhyme,r2m
rhythm,rID@m
rib,rIb
ribald,rIb@ld
riband,rIb@nd
ribbon,rIb@n
riboflavin,r2b5fl1vIn
rice,r2s
rich,rIJ
rick,rIk
rickets,rIkIts
rickshaw,rIkS$
riddle,rId@l
ride,r2d
ridge,rI_
ridicule,rIdIkjul
riesling,rizlIN
rife,r2f
riff,rIf
riffle,rIf@l
riffraff,rIfr{f
rifle,r2f@l
rift,rIft
rig,rIg
right,r2t
rigid,rI_Id
rigmarole,rIgm@r5l
rile,r2l
rill,rIl
rim,rIm
rime,r2m
rind,r2nd
ring,rIN
rink,rINk
rinse,rIns
riot,r2@t
rip,rIp
riparian,r2p8r7n
ripe,r2p
riposte,rIpQst
ripple,rIp@l
rise,r2z
risk,rIsk
risotto,rIzQt5
rissole,rIs5l
rite,r2t
rival,r2v@l
rive,r2v
river,rIv@
rivet,rIvIt
rivulet,rIvjUlIt
roach,r5J
road,r5d
roam,r5m
roan,r5n
roar,r$
roast,r$st
rob,rQb
robe,r5b
robin,rQbIn
robot,r5bQt
robust,r5bVst
roc,rQk
rock,rQk
rocket,rQkIt
rod,rQd
rodent,r5d@nt
rodeo,r5d15
roe,r5
rogue,r5g
role,r5l
roll,r5l
rollick,rQlIk
romance,r5m{ns
romp,rQmp
rondeau,rQnd5
rondel,rQnd@l
rondo,rQnd5
rood,rud
roof,ruf
rook,rUk
rookie,rUkI
room,rum
roost,rust
root,rut
rope,r5p
rose,r5z1
rosemary,r5zm@rI
rosin,rQzIn
roster,rQst@
rostrum,rQstr@m
rot,rQt
rota,r5t@
rotate,r5t1t
rote,r5t
rotogravure,r5t5gr@vj9
rotor,r5t@
rotund,r5tVnd
rotunda,r5tVnd@
rouble,rub@l
roue,ru1
rough,rVf
round,r6nd
roundel,r6nd@l
roup,rup
rouse,r6z
rout,r6t
route,rut
routine,rutin
rove,r5v
row,r6
rowan,r6@n
rowdy,r6dI
rowel,r6@l
royal,r4@l
rub,rVb
rubber,rVb@
rubbish,rVbIS
rubble,rVb@l
rubella,rUbEl@
rubicund,rubIk@nd
rubric,rubrIk
ruby,rubI
ruck,rVk
ruction,rVkS@n
ructions,rVkS@nz
rudder,rVd@
ruddle,rVd@l
ruddy,rVdI
rude,rud
rue,ru
ruff,rVf
ruffian,rVfj@n
ruffle,rVf@l
rug,rVg
rugby,rVgbI
rugger,rVg@
ruin,rUIn
rule,rul
rum,rVm
rumble,rVmb@l
rummage,rVmI_
rumour,rum@
rump,rVmp
rumple,rVmp@l
rumpus,rVmp@s
run,rVn
rune,run
rung,rVN
runnel,rVn@l
runt,rVnt
rupee,rupi
rupiah,rupi@
rupture,rVpJ@
rural,r9r@l
ruse,ruz
rush,rVS
rusk,rVsk
russet,rVsIt
rust,rVst
rustic,rVstIk
rustle,rVs@l
rut,rVt
rye,r2
sabbath,s{b@T
sable,s1b@l
sabot,s{b5
sabra,s#br@
sabre,s1b@
sac,s{k
saccharin,s{k@rIn
saccharine,s{k@r2n
sack,s{k
sackbut,s{kbVt
sacral,s1kr@l
sacred,s1krId
sacrifice,s{krIf2s
sacrilege,s{krIlI_
sacrosanct,s{kr5s{Nkt
sad,s{d
saddle,s{d@l
safe,s1f
saffron,s{fr@n
sag,s{g
saga,s#g@
sage,s1_
sago,s1g5
sahib,s#b
sail,s1l
saint,s1nt
sake,s#kI
salad,s{l@d
salamander,s{l@m{nd@
salary,s{l@rI
sale,s1l
salient,s1lj@nt
saliva,s@l2v@
sallow,s{l5
sally,s{lI
salmon,s{m@n
salmonella,s{lm@nEl@
saloon,s@lun
salsify,s{lsIf2
salt,s$lt
saltire,s$lt2@
salute,s@lut
salve,s{lv
salver,s{lv@
salvia,s{lv7
salvo,s{lv5
samaritan,s@m{rIt@n
same,s1m
sampan,s{mp{n
sample,s#mp@l
sanctimony,s{NktIm@nI
sanction,s{NkS@n
sanctum,s{Nkt@m
sand,s{nd
sandal,s{nd@l
sane,s1n
sanguine,s{NgwIn
sans,s{nz
sap,s{p
sapphire,s{f2@
sarcasm,s#k{z@m
sarcophagus,s#kQf@g@s
sardine,s#din
sash,s{S
sashay,s{S1
sass,s{s
sassafras,s{s@fr{s
satchel,s{J@l
sate,s1t
sateen,s{tin
satellite,s{t@l2t
satin,s{tIn
satire,s{t2@
satisfy,s{tIsf2
satrap,s{tr@p
saturate,s{J@r1t
satyr,s{t@
sauce,s$s
saucer,s$s@
saunter,s$nt@
sausage,sQsI_
saute,s5t1
savage,s{vI_
savanna,s@v{n@
save,s1v
saveloy,s{v@l4
savour,s1v@
savoy,s@v4
savvy,s{vI
saw,s$
sax,s{ks
saxifrage,s{ksIfrI_
say,s1
scab,sk{b
scabbard,sk{b@d
scabies,sk1biz
scads,sk{dz
scaffold,sk{f5ld
scalawag,sk{l@w{g
scald,sk$ld
scale,sk1l
scalene,sk1lin
scallion,sk{lj@n
scallop,skQl@p
scallywag,sk{lIw{g
scalp,sk{lp
scalpel,sk{lp@l
scamp,sk{mp
scampi,sk{mpI
scan,sk{n
scandal,sk{nd@l
scant,sk{nt
scapula,sk{pjUl@
scar,sk#
scarab,sk{r@b
scarce,sk8s
scare,sk8
scarf,sk#f
scarlatina,sk#l@tin@
scarlet,sk#l@t
scarp,sk#p
scarper,sk#p@
scat,sk{t
scatter,sk{t@
scavenge,sk{vIn_
scenario,sIn#rI5
scene,sin
scent,sEnt
sceptic,skEptIk
sceptre,sEpt@
schedule,SEdjul
schema,skim@
scheme,skim
scherzo,sk8ts5
schism,sIz@m
schnorkel,sn$k@l
school,skul
schooner,skun@
schwa,Sw#
sciatica,s2{tIk@
science,s2@ns
scimitar,sImIt@
scintilla,sIntIl@
scintillate,sIntIl1t
scion,s2@n
scissors,sIz@z
scleroid,skl7r4d
scoff,skQf
scold,sk5ld
sconce,skQns
scone,skQn
scoop,skup
scoot,skut
scope,sk5p
scorch,sk$J
score,sk$
scorn,sk$n
scorpion,sk$pj@n
scotch,skQJ
scoundrel,sk6ndr@l
scour,sk6@
scourge,sk3_
scout,sk6t
scow,sk6
scowl,sk6l
scrabble,skr{b@l
scrag,skr{g
scram,skr{m
scramble,skr{mb@l
scrap,skr{p
scrape,skr1p
scratch,skr{J
scrawl,skr$l
scream,skrim
scree,skri
screech,skriJ
screed,skrid
screen,skrin
screw,skru
scribble,skrIb@l
scribe,skr2b
scrimmage,skrImI_
scrimp,skrImp
scrimshaw,skrImS$
scrip,skrIp
script,skrIpt
scrivener,skrIvn@
scrofula,skrQfjUl@
scroll,skr5l
scrooge,skru_
scrotum,skr5t@m
scrounge,skr6n_
scrub,skrVb
scruff,skrVf
scrum,skrVm
scrunch,skrVnJ
scruple,skrup@l
scrutiny,skrutInI
scuba,skub@
scud,skVd
scuff,skVf
scuffle,skVf@l
scull,skVl
scullion,skVlj@n
sculpt,skVlpt
scum,skVm
scurf,sk3f
scurry,skVrI
scut,skVt
scutcheon,skVJ@n
scuttle,skVt@l
scythe,s2D
sea,si
seal,sil
seam,sim
sear,s7
search,s3J
season,siz@n
seat,sit
sec,sEkr@trI
secede,sIsid
seclude,sIklud
second,sIkQnd
secret,sikrIt
secretariat,sEkr@t8r7t
secretary,sEkr@trI
secrete,sIkrit
sect,sEkt
section,sEkS@n
sector,sEkt@
secular,sEkjUl@
secure,sIkj9
sedan,sId{n
sedate,sId1t
sedentary,sEd@nt@rI
sedge,sE_
sediment,sEdIm@nt
sedition,sIdIS@n
seduce,sIdjus
see,si
seed,sid
seek,sik
seem,sim
seep,sip
seethe,siD
segment,sEgmEnt
